pdp_address pdp_id pdp_revision pmt_dynodes pmt_d1_voltage preamp_vneg_voltage
0xAA 0x0100000F 0x0B0E050E 8 300 -3443
0xAB 0x00130132 0x05120A12 7 300 -3421
0xAC 0x00000034 0x0B0E050E 7 300 -3481
0xAD 0x01000012 0x0B0E050E 8 300 -3477
0xB0 0x00130139 0x05120A12 7 300 -3437
0xB1 0x01000022 0x0B0E050E 8 300 -3414
0xB2 0x01010050 0x06100310 8 300 -3438
0xB3 0x00010084 0x06100310 7 300 -3425
0xB4 0x00130135 0x05120A12 7 300 -3413
0xB5 0x01000005 0x0B0E050E 8 300 -3506
0xB6 0x0101004E 0x06100310 8 300 -3410
0xB7 0x02010094 0x06100310 7 350 -3381
0xB8 0x00130134 0x05120A12 7 300 -3405
0xB9 0x0100000D 0x0B0E050E 8 300 -3455
0xBA 0x01000011 0x0B0E050E 8 300 -3439
0xBB 0x0000003A 0x0B0E050E 7 300 -3427
0xBC 0x00000032 0x0B0E050E 7 300 -3472
0xBD 0x01000013 0x0B0E050E 8 300 -3456
0xC0 0x0013013A 0x05120A12 7 300 -3439
0xC2 0x01000006 0x0B0E050E 8 300 -3455
0xC4 0x0000003E 0x0B0E050E 7 300 -3494
0xC6 0x0100001D 0x0B0E050E 8 300 -3465
0xC8 0x00000029 0x0B0E050E 7 300 -3467
0xCA 0x01000020 0x0B0E050E 8 300 -3440
0xCC 0x00000036 0x0B0E050E 7 300 -3466

